Model,Experiment,Prefill (s),Decode (tokens/s),Memory (MB),Energy (tokens/kWh),Open LLM Score (%),Backend,Precision,Quantization,Attention,Kernel,End-to-End (s),Architecture,Params (B)
internlm/internlm2-20b,4bit-awq-gemm-eager,1.596,0.678,14169.857,9018.305,69.75*,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,94.475,Unknown,20
internlm/internlm2-20b,4bit-awq-gemm-fa2,1.584,0.679,14170.905,9125.542,69.75*,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,94.313,Unknown,20
internlm/internlm2-20b,4bit-gptq-exllama-v2-eager,0.913,1.27,13753.433,15682.496,69.75*,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,50.529,Unknown,20
internlm/internlm2-20b,4bit-gptq-exllama-v1-eager,0.912,1.27,13753.433,15775.31,69.75*,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,50.529,Unknown,20
internlm/internlm2-20b,4bit-gptq-exllama-v1-fa2,0.903,1.273,13753.432,15849.582,69.75*,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,50.399,Unknown,20
internlm/internlm2-20b,4bit-gptq-exllama-v2-fa2,0.903,1.273,13753.432,15855.091,69.75*,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,50.399,Unknown,20
internlm/internlm2-20b,8bit-bnb-eager,0.177,7.287,22203.773,159697.386,69.75*,pytorch,float16,BnB.8bit,Eager,No Kernel,8.825,Unknown,20
internlm/internlm2-20b,8bit-bnb-fa2,0.166,7.612,22195.849,167231.112,69.75*,pytorch,float16,BnB.8bit,FAv2,No Kernel,8.397,Unknown,20
internlm/internlm2-20b,4bit-bnb-eager,0.868,11.738,13625.609,197205.745,69.75*,pytorch,float16,BnB.4bit,Eager,No Kernel,6.209,Unknown,20
internlm/internlm2-20b,4bit-bnb-fa2,0.857,11.991,13625.478,203345.334,69.75*,pytorch,float16,BnB.4bit,FAv2,No Kernel,6.112,Unknown,20
01-ai/Yi-34B,4bit-awq-gemm-eager,2.805,0.378,20902.144,5115.087,69.42*,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,169.522,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-awq-gemm-sdpa,2.792,0.379,20902.143,5075.381,69.42*,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,168.991,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-awq-gemm-fa2,2.791,0.379,20902.143,5072.79,69.42*,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,168.969,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-gptq-exllama-v1-eager,1.579,0.714,20339.707,9017.011,69.42*,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,89.76,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-gptq-exllama-v2-eager,1.578,0.714,20339.707,9277.914,69.42*,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,89.754,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-gptq-exllama-v1-sdpa,1.566,0.715,20339.706,9244.372,69.42*,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,89.702,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-gptq-exllama-v2-sdpa,1.566,0.715,20339.706,9276.978,69.42*,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,89.704,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-gptq-exllama-v1-fa2,1.564,0.716,20339.706,9325.744,69.42*,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,89.535,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-gptq-exllama-v2-fa2,1.564,0.716,20339.706,9320.386,69.42*,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,89.541,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-bnb-eager,1.529,7.727,20257.332,121037.777,69.42*,pytorch,float16,BnB.4bit,Eager,No Kernel,9.665,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-bnb-sdpa,1.509,7.835,20257.201,128547.398,69.42*,pytorch,float16,BnB.4bit,SDPA,No Kernel,9.55,LlamaForCausalLM,34
01-ai/Yi-34B,4bit-bnb-fa2,1.507,8.024,20257.201,131518.785,69.42*,pytorch,float16,BnB.4bit,FAv2,No Kernel,9.334,LlamaForCausalLM,34
Qwen/Qwen1.5-14B,4bit-awq-gemm-fa2,1.1,0.976,11686.799,12839.791,66.70*,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,65.644,Qwen2ForCausalLM,14
Qwen/Qwen2-beta-14B,4bit-awq-gemm-fa2,1.099,0.978,11686.805,13071.1,66.70*,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,65.505,Unknown,14
Qwen/Qwen1.5-14B,4bit-awq-gemm-eager,1.098,0.988,11686.8,12920.85,66.70*,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,64.876,Qwen2ForCausalLM,14
Qwen/Qwen1.5-14B,4bit-awq-gemm-sdpa,1.092,0.988,11686.799,12900.669,66.70*,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,64.841,Qwen2ForCausalLM,14
Qwen/Qwen2-beta-14B,4bit-awq-gemm-eager,1.097,0.989,11686.806,13140.614,66.70*,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,64.797,Unknown,14
Qwen/Qwen2-beta-14B,4bit-awq-gemm-sdpa,1.091,0.99,11686.805,13140.665,66.70*,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,64.751,Unknown,14
