Model,Experiment,Prefill (s),Decode (tokens/s),Memory (MB),Energy (tokens/kWh),Open LLM Score (%),Backend,Precision,Quantization,Attention,Kernel,End-to-End (s),Architecture,Params (B)
Qwen/Qwen1.5-110B,4bit-gptq-exllama-v2-eager,2.486,0.398,65311.037,2661.495,75.42*,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,149.921,Qwen2ForCausalLM,110
Qwen/Qwen1.5-110B,4bit-gptq-exllama-v1-fa2,2.513,0.421,65311.036,2633.025,75.42*,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,151.799,Qwen2ForCausalLM,110
Qwen/Qwen1.5-110B,4bit-gptq-exllama-v1-eager,2.515,0.424,65311.037,2662.679,75.42*,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,151.175,Qwen2ForCausalLM,110
Qwen/Qwen1.5-110B,4bit-gptq-exllama-v2-sdpa,2.499,0.425,65311.036,2666.191,75.42*,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,150.5,Qwen2ForCausalLM,110
Qwen/Qwen1.5-110B,4bit-gptq-exllama-v1-sdpa,2.48,0.428,65311.036,2664.976,75.42*,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,149.561,Qwen2ForCausalLM,110
Qwen/Qwen1.5-110B,4bit-bnb-fa2,4.467,3.363,65013.93,23268.535,75.42*,pytorch,float16,BnB.4bit,FAv2,No Kernel,23.206,Qwen2ForCausalLM,110
Qwen/Qwen1.5-110B,4bit-bnb-eager,4.446,3.835,65014.062,25487.07,75.42*,pytorch,float16,BnB.4bit,Eager,No Kernel,20.873,Qwen2ForCausalLM,110
Qwen/Qwen1.5-110B,4bit-bnb-sdpa,4.436,3.848,65013.93,26017.077,75.42*,pytorch,float16,BnB.4bit,SDPA,No Kernel,20.818,Qwen2ForCausalLM,110
Qwen/Qwen1.5-72B,4bit-gptq-exllama-v1-fa2,1.659,0.64,45374.151,3969.019,72.91*,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,100.136,Qwen2ForCausalLM,72
Qwen/Qwen1.5-72B,4bit-gptq-exllama-v2-fa2,1.64,0.647,45374.151,4022.375,72.91*,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,98.929,Qwen2ForCausalLM,72
Qwen/Qwen1.5-72B,4bit-gptq-exllama-v2-sdpa,1.645,0.65,45374.151,4074.884,72.91*,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,98.609,Qwen2ForCausalLM,72
Qwen/Qwen1.5-72B,4bit-gptq-exllama-v1-sdpa,1.64,0.651,45374.151,4083.113,72.91*,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,98.385,Qwen2ForCausalLM,72
Qwen/Qwen1.5-72B,4bit-gptq-exllama-v1-eager,1.641,0.652,45374.152,4086.555,72.91*,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,98.294,Qwen2ForCausalLM,72
